pt-br,libras-gloss,is_government_source
Deixa-se claro que a hipótese de Alfredo Brandão nunca foi comprovada.,ESCLARECER&EXPLICAR HIPÓTESE ALFREDO BRANDÃO NUNCA COMPROVAR [PONTO]
Eles fizeram um trabalho inimaginável.,ELES FAZER TRABALHO INIMAGINÁVEL [PONTO]
RJRESOLUÇÃO Nº 064 2018,RJ RESOLUÇÃO NÚMERO 0 6 4 2018
Formulários anexados ao edital,FORMULÁRIO ANEXAR EDITAL
"Comprovante de conta salário, no nome do beneficiário da pensão, nos bancos credenciados com o Governo Federal (observar informações constantes deste Manual, no assunto “Alteração de Dados Bancários ).",COMPROVANTE CONTA&BANCÁRIA SALÁRIO NOME BENEFICIÁRIO PENSÃO&AUXÍLIO BANCO&DINHEIRO CREDENCIAR GOVERNO_FEDERAL OBSERVAR INFORMAÇÃO CONSTANTE ESTE MANUAL&INSTALAÇÃO ASSUNTO ALTERAÇÃO DADO&INFORMAÇÃO BANCÁRIO [PONTO],True,"Proof of salary account, in the name of the pension beneficiary, in banks accredited with the federal government (observe information contained in this manual, in the subject “change of bank data)."
Treze pessoas estão feridas.,13 PESSOA FERIDO [PONTO],False,Thirteen people are injured.
Eu liguei para um amigo.,EU LIGAR&TELEFONAR AMIGO [PONTO],False,I called a friend.
Você vende vinho?,VOCÊ VENDER VINHO&BEBIDA [INTERROGAÇÃO],False,Do you sell wine?
Nós estamos comendo maçãs.,NÓS COMER MAÇÃ [PONTO],False,We are eating apples.
"Para acessar estatísticas do Seguro-Desemprego,",ACESSAR ESTATÍSTICO SEGURO&CONTRATO DESEMPREGO,True,"To access unemployment insurance statistics,"
Você não deveria quebrar promessas.,VOCÊ NÃO_DEVER_OBRIGAÇÃO QUEBRAR_PROMESSA [PONTO],False,You should not break promises.
Realizar Pedido de Retificação de Licenciamento de Importação anuídos pela Superintendência da Zona Franca de Manaus.,REALIZAR 1S_PEDIR_2S CORRIGIR LICENCIAMENTO IMPORTAÇÃO ANUIR SUPERINTENDÊNCIA_DA_ZONA_FRANCA_DE_MANAUS [PONTO],True,Perform request for rectification of import licensing anniversation by the Manaus Free Zone Superintendence.
" Valdevo, que se juntou à revolta, se rendeu, juntamente com Gospatrico, e ambos foram autorizados a manter suas terras.",VALDEVO REVOLTA RENDER GOSPATRICO ELES AUTORIZAR&PERMITIR MANTER TERRA&LOCAL [PONTO],False,"Valdevo, who joined the revolt, surrendered, along with gospel, and both were allowed to keep their lands."
Eu acho que estou me apaixonando.,ACHAR&PENSAR APAIXONAR [PONTO],False,I think I'm falling in love.
"Ele propôs essa ideia em um artigo científico intitulado ""Can Rocket Stations Give Worldwide Radio Coverage?",ELE PROPOR IDEIA ARTIGO&TEXTO CIENTÍFICO INTITULAR CAN ROCKET STATIONS GIVE WORLDWIDE RADIO COVERAGE [INTERROGAÇÃO],False,"Did he propose this idea in a scientific article entitled ""Can Rocket Stations Give Worldwide Radio Coverag?"
Eu te disse que saísse.,EU FALAR QUE SAIR [PONTO],False,I told you to leave.
Prazo para exame de cédulas identificadas como falsas ou de legitimidade duvidosa,PRAZO&TEMPO EXAME CÉDULA IDENTIFICAR IGUAL FALSO&FALSIFICADO LEGÍTIMO DUVIDAR,True,Deadline for examination of banknotes identified as false or dubious legitimacy
"Por ser assistencial, para ter direito ao benefício não é necessário ter contribuído para o INSS",ASSISTÊNCIA TER DIREITO&LEI BENEFÍCIO NÃO NECESSÁRIO CONTRIBUIR&PAGAR INSS,True,"Because it is a care, to be entitled to the benefit, it is not necessary to have contributed to the INSS"
"Caso a beneficiária necessite de prorrogação de prazo para contratação do financiamento com recursos do FMM deverá solicitar ao DEFOM, no mínimo, 120 dias anteriores ao final da vigência da Resolução de aprovação de prioridade.",CASO&EVENTO BENEFICIAR NECESSITAR PRORROGAR PRAZO&TEMPO CONTRATAR FINANCIAR RECURSO FMM DEVER&POSSIBILIDADE 1S_PEDIR_2S DEFOM MÍNIMO 120 DIA ANTERIOR FINAL VIGÊNCIA RESOLUÇÃO APROVAR PRIORIDADE [PONTO],True,"If the beneficiary needs extension of a deadline for contracting the funding with FMM resources, he / she must request the DEPOM at least 120 days prior to the end of the priority approval resolution."
Este café está muito bom.,CAFÉ BOM(+) [PONTO],False,This coffee is very good.
Uma cópia ficará sob posse do solicitante e a outra retornará assinada à Coleção.,CÓPIA POSSE SOLICITANTE OUTRO RETORNAR ASSINAR COLEÇÃO [PONTO],True,One copy will be in possession of the applicant and the other will return to the collection.
IPE (clique aqui),CLIQUE AQUI,True,Ipe (click here)
Qual é o nosso carro?,QUAL NOSSO CARRO [INTERROGAÇÃO],False,What is our car?
Verificar se possui acesso à aplicação SISCOSEN para edição da senha TXT.,VERIFICAR TER APLICAÇÃO SISCOSEN EDIÇÃO SENHA TXT [PONTO],True,Check if you have access to the SISCOSEN application for TXT password editing.
Qual é o preço?,QUAL PREÇO [INTERROGAÇÃO],False,What is the price?
Participar das Atividades do Projeto Meninas no Museu de Astronomia e Ciências Afins,PARTICIPAR ATIVIDADE PROJETO&DOCUMENTO MENINA MUSEU_DE_ASTRONOMIA_E_CIÊNCIAS_AFINS,True,Participate in the activities of the Girls Project at the Museum of Astronomy and related sciences
Ele vai responder a sua carta em breve.,ELE RESPONDER SUA CARTA BREVE [PONTO],False,He will answer your letter soon.
Estou feliz em ouvir isso.,EU FELIZ(+) OUVIR [PONTO],False,I'm happy to hear that.
Termo de Responsabilidade Financeira,TERMO RESPONSABILIDADE FINANCEIRO,True,Financial Responsibility Term
Eu sei o que você está pensando.,EU SABER VOCÊ PENSAR [PONTO],False,I know what you are thinking.
"Como o conselho não se decidia, D. Nuno decide partir com a sua hoste para Tomar, mandando dizer ao rei que lá o esperaria.",CONSELHO&GRUPO NÃO_DECIDIR DOM&TÍTULO NUNO DECIDIR HOSTE TOMAR&CIDADE 1S_AVISAR_2S REI ESPERAR [PONTO],False,"As the advice was not decided, D. Nuno decides to leave with his host to take, telling the king that he would wait for him."
Liguei a televisão.,LIGAR TV [PONTO],False,I turned on the television.
Esta palavra é de uso comum?,PALAVRA USO COMUM [INTERROGAÇÃO],False,Is this word of common use?
Esses profissionais passaram por uma formação para melhor acompanhar e orientar os turistas.,ESSE PROFISSIONAL COMEÇAR FORMAÇÃO MELHOR ACOMPANHAR TURISTA [PONTO],True,These professionals underwent a training to better follow and guide tourists.
Requerimento de solicitação de registro contendo obrigatoriamente o número do CNPJ ou CPF do requerente.,REQUERIMENTO SOLICITAÇÃO REGISTRO CONTER OBRIGATORIAMENTE NÚMERO CNPJ OU CPF REQUERENTE [PONTO],True,Application for registration request necessarily containing the applicant's CNPJ or CPF number.
O não cumprimento dos compromissos de saúde e educação podem gerar efeitos para a sua família.,NÃO_CUMPRIR COMPROMISSO SAÚDE EDUCAÇÃO&ENSINO PODER&POSSIBILIDADE GERAR&PRODUZIR EFEITO SEU FAMÍLIA [PONTO],True,Failure to comply with health and education commitments can have effects on your family.
"Em 2000, pouco mais de 50% de sua população não tinha nenhum grau de escolaridade.",ANO&DATA 2000 POUCO MAIS&QUANTIDADE 50 PORCENTAGEM SUA POPULAÇÃO NÃO_TER GRAU&ESCOLAR [PONTO],False,"In 2000, just over 50% of its population had no degree of education."
Gosto de ajudar meus amigos.,GOSTAR 1S_AJUDAR_2S MEU AMIGO [PONTO],False,I like to help my friends.
Aquele homem é o Tom?,AQUELE HOMEM TOM [INTERROGAÇÃO],False,Is that man the tone?
Tom não reconheceu Maria.,TOM NÃO_RECONHECER MARIA [PONTO],False,Tom did not recognize Maria.
Tem algum médico a bordo?,TER MÉDICO [INTERROGAÇÃO],False,Is there a doctor on board?
Inscrever-se na Plataforma da Educação Básica,INSCREVER PLATAFORMA&COMPUTADOR EDUCAÇÃO&BÁSICA,True,Subscribe to the Basic Education Platform
O Tom pediu à Mary que ela não fosse embora.,TOM PEDIR MARY ELA NÃO_SAIR [PONTO],False,Tom asked Mary not to leave.
Deixei de fumar.,DEIXAR&PERMITIR FUMAR [PONTO],False,I stopped smoking.
"Ele não come isto, né?",ELE NÃO_COMER ISTO [INTERROGAÇÃO],False,"He doesn't eat this, right?"
Protocolar solicitação; Receber documento,PROTOCOLAR SOLICITAÇÃO RECEBER DOCUMENTO&PAPEL,True,Protocol request; Receive document
Esta é uma situação incomum.,ESTA SITUAÇÃO INCOMUM [PONTO],False,This is an unusual situation.
Eu te amo do jeito que você é.,EU AMAR JEITO VOCÊ [PONTO],False,I love you the way you are.
"Em 2013, o governo paquistanês anunciou uma série de privatizações do setor bancário, isto atraiu mais investidores ao país que voltou a crescer mas, mesmo assim continua sendo um país pobre/emergente, o país será uma grande economia a partir de 2050, ano em que sua economia chegará a 16° posição com um PIB de US$ 4,236 trilhões, os paquistaneses terão o 24° maior poder de compra do mundo, mas as taxas de desenvolvimento humano e social seguirão baixas.",2013 GOVERNO PAQUISTÃO&PAÍS 1S_ANUNCIAR_2P PRIVATIZAÇÃO SETOR BANCÁRIO MAIS&QUANTIDADE INVESTIDOR PAÍS VOLTAR CRESCER CONTINUAR PAÍS POBRE EMERGENTE PAÍS GRANDE ECONOMIA 2050 ANO&DATA ECONOMIA CHEGAR 16 POSIÇÃO PIB US$ 4236000000000 PESSOA_NASCER_PAQUISTÃO&PAÍS TER 24 MAIOR&MELHOR PODER&POTÊNCIA COMPRA MUNDO TAXA&PREÇO DESENVOLVIMENTO HUMANO SOCIAL BAIXO [PONTO],False,"In 2013, the Pakistani government announced a series of privatization of the banking sector, this attracted more investors to the country that has grown again but still remains a poor/emerging country, the country will be a great economy from 2050, the year its economy will reach 16th position with a GDP of US $ 4.236 trillion, the Pakistani will have the 24th largest purchasing power in the world, but the human development rates, but the human development rates will follow low."
Enviar e-mail com solicitação para,ENVIAR E_MAIL SOLICITAR,True,Send email with request to
